CAS,chemical_name,n_species_observed,n_species_predicted,trad_mu,trad_sigma,hc5_traditional,hc5_mc_median,hc5_mc_lower,hc5_mc_upper,hc5_mc_ci_width,hc20_traditional,hc20_mc_median,hc20_mc_lower,hc20_mc_upper,hc20_mc_ci_width,hc50_traditional,hc50_mc_median,hc50_mc_lower,hc50_mc_upper,hc50_mc_ci_width,hc80_traditional,hc80_mc_median,hc80_mc_lower,hc80_mc_upper,hc80_mc_ci_width,hc95_traditional,hc95_mc_median,hc95_mc_lower,hc95_mc_upper,hc95_mc_ci_width
105-67-9,"2,4-Dimethylphenol",8,1267,0.8527226054399211,0.3017686724929497,0.3563573099895616,-0.7830744662779259,-0.9015926659116953,-0.6737035583741914,0.2278891075375039,0.5987476830427441,0.06138046868592824,-0.003709021486933117,0.12972813467581099,0.1334371561627441,0.8527226054399211,0.8331855544017288,0.7803032331068727,0.8888529789095966,0.10854974580272392,1.106697527837098,1.576818784223602,1.5147008887163738,1.6421817858141188,0.12748089709774502,1.3490879008902803,2.351447703606671,2.236027824541874,2.4683033934680423,0.2322755689261684
96-22-0,3-Pentanone,1,1267,,,,-0.5327182131451804,-0.7299064415293427,-0.34610167551673365,0.38380476601260904,,0.7680711821868713,0.6533280903387242,0.8896485453632244,0.23632045502450016,,2.07381576265699,1.9793771894245789,2.1768947155458904,0.19751752612131157,,3.364227459360993,3.2375552809662094,3.474365896625247,0.23681061565903772,,4.59663974828012,4.408581375449034,4.789323506666655,0.38074213121762046
106-20-7,"2,2'-Diethylhexylamine",1,1267,,,,-3.4499072601389638,-3.7114046669789618,-3.1961784965552167,0.5152261704237451,,-1.6281216519198358,-1.804254181477762,-1.4566516920994235,0.3476024893783385,,0.2690055458464089,0.11459190658099856,0.4272641569687446,0.31267225038774604,,2.161638377285743,1.9829793056032685,2.3226831131482357,0.3397038075449672,,3.9582253018874596,3.69060263618526,4.224241146184376,0.5336385099991157
95-51-2,2-Chloroaniline,3,1267,,,,-1.2728003062393087,-1.402418577071406,-1.1376203282719841,0.2647982487994218,,-0.3368196040815551,-0.4210430133119553,-0.2591005559872074,0.16194245732474793,,0.5920650203414014,0.5206953446264352,0.6629720633303297,0.14227671870389447,,1.5125008192360865,1.4295627430962543,1.5917297516773716,0.16216700858111732,,2.422485017538995,2.2943286878960922,2.558282693898026,0.26395400600193364
127-18-4,Tetrachloroethylene,12,1267,0.5769684254701842,0.5417686311433578,-0.31416167243450255,-1.1391112164304356,-1.2794660114250034,-1.0027684247148974,0.276697586710106,0.12100444181620229,-0.1734413014985976,-0.25482169363632395,-0.08934759485228298,0.16547409878404096,0.5769684254701842,0.760370120575409,0.6929951714720244,0.8282680890971328,0.1352729176251084,1.0329324091241663,1.6740912249615199,1.5934712245366538,1.757102351396226,0.16363112685957226,1.4680985233748707,2.5833615588504264,2.4461092492746808,2.7126014656556023,0.2664922163809216
39515-51-0,3-Phenoxybenzaldehyde,1,1267,,,,-3.3761093499049437,-3.642825116097673,-3.124641841234308,0.518183274863365,,-1.57914718880556,-1.7501075266179373,-1.399541524986157,0.3505660016317804,,0.29457759712225773,0.1409061948916453,0.45015399635595615,0.30924780146431086,,2.1695620834919924,1.9801247209893207,2.3345682857793717,0.354443564790051,,3.9366892755598597,3.6720096803070286,4.230854852674326,0.5588451723672971
4264-83-9,"Phosphoric acid, mono(4-nitrophenyl) ester, disodium salt",1,1267,,,,-2.261544047251035,-2.542917071077035,-1.9867255967583657,0.5561914743186693,,-0.2931464050573428,-0.4832931534948521,-0.11361921799711332,0.36967393549773875,,1.7404140147074927,1.5824936110901069,1.9136891518339076,0.33119554074380075,,3.7605088291589777,3.561191230831904,3.92950347591956,0.36831224508765636,,5.6699433677448,5.394958394826534,5.967085318460956,0.5721269236344222
75-34-3,"1,1-Dichloroethane",1,1267,,,,-2.0448869357396684,-2.266436125348653,-1.8297379680761872,0.43669815727246575,,-0.46846808427057285,-0.6120239007626476,-0.3102706042876201,0.30175329647502747,,1.1579860989732358,1.0222455381931264,1.2963077251170336,0.27406218692390727,,2.78072764864819,2.6278077225048704,2.9307037040066115,0.30289598150174113,,4.318748557711409,4.084978325321084,4.55435359621165,0.4693752708905654
120068-37-3,Fipronil,12,1267,-2.2018794890355213,0.635692108147879,-3.247499958746988,-3.5798362393012733,-3.7144823864210954,-3.459910306843377,0.2545720795777182,-2.7368914652675054,-2.559195360544626,-2.6425482856218165,-2.4823749235348433,0.1601733620869732,-2.2018794890355213,-1.489875702876594,-1.5637185550269292,-1.4229831830351554,0.14073537199177388,-1.6668675128035368,-0.5029575062061193,-0.5792647819802229,-0.42139493732569633,0.15786984465452658,-1.156259019324055,0.3990853759925062,0.28405724974633284,0.522929282370233,0.2388720326239001
591-54-8,4-Aminopyrimidine,1,1267,,,,-1.7363994536349083,-1.976638540641031,-1.4965290959620876,0.48010944467894334,,-0.0719402267882504,-0.2246949778341354,0.09334748279487515,0.31804246062901054,,1.6499005670705702,1.5137989908385847,1.7940849869854851,0.2802859961469004,,3.3665160479152307,3.2083737767662104,3.52101851475078,0.3126447379845696,,5.003001035518027,4.75395427905454,5.246907882655726,0.4929536036011859
40487-42-1,Pendimethalin,4,1267,,,,-2.1275606689469226,-2.284339448486161,-1.9790640229649774,0.3052754255211838,,-1.0612837416148988,-1.1549634927231252,-0.964945654989178,0.1900178377339472,,0.007196688746068394,-0.07043845859485465,0.08986047540333805,0.1602989339981927,,1.0649424414642632,0.9711894643536285,1.1605944104587225,0.18940494610509395,,2.1026588831156445,1.9469736173073455,2.2561747466815363,0.30920112937419075
143545-90-8,Cylindrospermopsin,1,1267,,,,-2.083563983351608,-2.2433966722436995,-1.9378466307171036,0.30555004152659593,,-0.9871379833166265,-1.076434639013546,-0.8970139246343816,0.1794207143791644,,0.10944376647356378,0.03092281062854618,0.18456756220646336,0.15364475157791718,,1.1721570361474025,1.0755645280745771,1.2655318244630118,0.18996729638843468,,2.2009546275083585,2.054878936357295,2.3484301405192243,0.2935512041619295
960003-93-4,"S-[(2S)-Butan-2-yl] O-ethyl (R)-(2-oxo-1,3-thiazolidin-3-yl)phosphonothioate",1,1267,,,,-3.139201007843312,-3.3586769860992263,-2.936388108457895,0.42228887764133116,,-1.6252924771709079,-1.7674597469171083,-1.4810611358023955,0.28639861111471276,,-0.04986600230509042,-0.179576257903307,0.07607252028754798,0.25564877819085496,,1.519599325149322,1.373932361983067,1.6598184551155326,0.2858860931324656,,3.0123803520905854,2.7978674761649565,3.240683406220498,0.44281593005554143
7601-89-0,Sodium perchlorate,3,1267,,,,-0.022685913501242494,-0.1820241388844738,0.1320375731346939,0.31406171201916766,,1.1762260299340963,1.0784890963343763,1.2771127078983164,0.19862361156394015,,2.3266807973381547,2.2555850356137404,2.4025711743650175,0.1469861387512772,,3.363450744648474,3.277168969044765,3.443112313907113,0.16594334486234796,,4.331087036377376,4.193902442076504,4.464478943382613,0.2705765013061088
106-48-9,4-Chlorophenol,9,1267,0.7427019064774965,0.2503167105074305,0.33096755731278754,-1.0165329183013827,-1.1440555288941703,-0.9017104119589964,0.2423451169351739,0.5320300477963188,-0.1916672708924353,-0.2582346212776734,-0.12495136838523951,0.13328325289243387,0.7427019064774965,0.5731087049875979,0.5186884694716452,0.6317731461911408,0.11308467671949562,0.9533737651586742,1.3395499639559407,1.2737801157291775,1.4041806729901825,0.13040055726100497,1.1544362556422052,2.1799627744096846,2.0622544193126706,2.3015183345047947,0.2392639151921241
