CAS,chemical_name,n_species_observed,n_species_predicted,hc5_traditional,hc5_trad_mu,hc5_trad_sigma,hc5_mc_median,hc5_mc_lower_95,hc5_mc_upper_95,hc5_mc_ci_width
119-27-7,"2,4-Dinitroanisole",2,1267,,,,-2.0810508038103688,-2.2910819028734672,-1.8769848313492137,0.41409707152425357
98-55-5,alpha-Terpineol,2,1267,,,,-1.4272814678656314,-1.5724200098213326,-1.280731777410894,0.2916882324104386
76-01-7,Pentachloroethane,6,1267,0.1833703164393259,1.0448440859557577,0.5237388636902993,-1.0914084950255232,-1.2289241777924487,-0.9501878862931534,0.27873629149929524
13071-79-9,Terbufos,4,1267,,,,-3.5668298678702497,-3.677131677182717,-3.453264725348012,0.22386695183470495
95-51-2,2-Chloroaniline,3,1267,,,,-1.2642797117968145,-1.3899542613306317,-1.1303113891013097,0.25964287222932203
1689-99-2,Bromoxynil octanoate,2,1267,,,,-2.8145315721464854,-2.963971568225616,-2.6801409748678107,0.28383059335780514
633-96-5,C.I. Acid Orange 7,1,1267,,,,-1.4101290626806557,-1.6036293721226125,-1.2192590039407025,0.38437036818190995
2636-26-2,Cyanophos,1,1267,,,,-2.2362573703628223,-2.4433885694926594,-2.044785352625264,0.3986032168673952
174501-64-5,1-Butyl-3-methylimidazolium hexafluorophosphate,1,1267,,,,-2.614601845254567,-2.821611600572435,-2.4286502972799373,0.3929613032924979
55-63-0,Trinitroglycerin,10,1267,-0.09741942024918637,0.7987361274479319,0.5448238876780961,-1.075373713022111,-1.2030285658314395,-0.9576048470301627,0.24542371880127678
97-00-7,"1-Chloro-2,4-dinitrobenzene",1,1267,,,,-1.977367770151484,-2.1191646243769426,-1.8374675267916898,0.28169709758525285
107-19-7,Propargyl alcohol,2,1267,,,,-1.6863769042304175,-1.846290300692704,-1.5185951970815568,0.3276951036111473
591-27-5,3-Aminophenol,1,1267,,,,-1.8348205563937539,-2.0150900121078896,-1.6511316331466763,0.3639583789612133
20018-09-1,Diiodomethyl 4-methylphenyl sulfone,1,1267,,,,-3.227031368946608,-3.4398122669236235,-3.0445070564393926,0.39530521048423095
1984-59-4,"2,3-Dichloroanisole",1,1267,,,,-2.238542466358128,-2.4359449017268844,-2.0593702836315364,0.376574618095348
121-69-7,"N,N-Dimethylaniline",5,1267,0.6894034027989848,1.3198573284223785,0.3832887712883364,-0.7968256590212166,-0.937502892374432,-0.6671867081555249,0.270316184218907
