,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
121-75-5,-1.5264090904250174,-1.1818826930592625,-1.2060051761664616,94,0.34452639736575486,0.32040391425855574,0.02412248310719911,-1.5697152422183538,0.04330615179333641
121-82-4,0.8279870441494865,-0.26784991013125276,0.843881808522272,5,-1.0958369542807394,0.015894764372785475,-1.1117317186535247,0.8317086820881342,-0.0037216379386476595
12125-02-9,0.7786083491741191,1.093349109537511,1.1481466222225847,45,0.3147407603633918,0.36953827304846554,-0.05479751268507371,1.1611176994563615,-0.3825093502822423
122-14-5,-1.5082782753142074,-1.5881932492533049,-1.8881663936114066,38,-0.07991497393909741,-0.37988811829719915,0.29997314435810174,-1.7971482962422365,0.28887002092802905
122-34-9,-0.06469530819393032,0.3960890400652363,-0.23321391387474516,21,0.46078434825916664,-0.16851860568081484,0.6293029539399815,-0.4814860601221125,0.41679075192818216
122-42-9,0.9529261270260239,0.7805505962830331,0.9841525853195738,5,-0.17237553074299072,0.031226458293549975,-0.2036019890365407,0.990848501887865,-0.037922374861841135
123-54-6,1.8708772401634743,1.3904813672439549,1.8617936454069874,9,-0.48039587291951946,-0.009083594756486901,-0.47131227816303256,1.8750612633917,-0.004184023228225753
123-91-1,1.723857619102922,2.4293448651273675,2.8702681879696077,5,0.7054872460244455,1.1464105688666857,-0.44092332284224023,2.9394791756542933,-1.2156215565513713
12427-38-2,-0.3866590696858236,-0.6865572940072112,-0.19246804084676106,9,-0.29989822432138763,0.19419102883906253,-0.49408925316045016,-0.29047076360861224,-0.09618830607721135
126-73-8,0.4741152199812967,0.18690848997376802,0.8159879408798407,6,-0.28720673000752867,0.34187272089854404,-0.6290794509060726,0.3685963213523686,0.1055188986289281
127-18-4,0.26182489659330066,0.45788739796757494,0.7165753101573387,12,0.19606250137427428,0.454750413564038,-0.2586879121897637,0.4253961447617706,-0.16357124816846996
131-11-3,1.6126802786281536,1.2877683728913751,1.7167185930696736,8,-0.3249119057367784,0.10403831444152001,-0.4289502201782984,1.70892160626975,-0.09624132764159654
131-52-2,-0.8952472751422675,-0.9537607035914839,-0.8636370192797608,33,-0.058513428449216365,0.031610255862506764,-0.09012368431172313,-0.8905298951131411,-0.004717380029126472
1310-73-2,1.70279034334598,1.1160709588726776,1.7865729107827608,5,-0.5867193844733023,0.08378256743678092,-0.6705019519100832,1.7794905791640077,-0.07670023581802776
1313-82-2,-0.32848223924074726,0.16041567953378288,0.24829800711768862,13,0.48889791877453015,0.5767802463584359,-0.08788232758390574,0.16557544490311177,-0.49405768414385903
13138-45-9,0.48624380310020454,0.32581207539414164,0.7551587607958224,10,-0.1604317277060629,0.2689149576956179,-0.4293466854016808,0.7707211454103939,-0.2844773423101894
