CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper
87392-12-9,S-Metolachlor,-0.0011678013835224382,0.02924898883873635,0.15799598467696174,-0.44747844178242124,0.31661665953526935,-0.3780730641375712,0.24602587908402737
874-42-0,"2,4-Dichlorobenzaldehyde",-0.41866718169014044,-0.37960898749609384,0.3830569087594966,-1.4381805489152446,0.3241583698878388,-1.2053139553747547,0.22529540847915605
874967-67-6,Sedaxane,-0.533348982948228,-0.5363019057147025,0.24340657197325696,-1.0575674214101258,0.013974127321494938,-1.0243154216320323,-0.07082254374933127
87674-68-8,Dimethenamid,-0.5076217965096224,-0.5162332754640488,0.2882584722572361,-1.0464505399411075,0.45950738256444723,-0.9565809930824875,0.07386462478816665
877-43-0,"2,6-Dimethylquinoline",0.3545399206458045,0.35476632581820156,0.11805516485536607,0.10931616559492006,0.5842766814784113,0.13837586601710963,0.5484066244096126
87818-31-3,Cinmethylin,-1.1686770400434803,-1.1438950671312231,0.43616165055177986,-2.198965464679709,-0.34948978824582283,-2.0916215395015794,-0.4058877575314638
87820-88-0,Tralkoxydim,-0.294380835884022,-0.30011510024885324,0.35196224820239536,-1.0166243452486463,0.5094775584468164,-0.9776849014979413,0.28598720978515146
879-39-0,"2,3,4,5-Tetrachloronitrobenzene",-1.7692654976456237,-1.74722175178846,0.44345804774586495,-2.9243815424659765,-0.783701842558972,-2.701101496146094,-1.0517854068502526
88-04-0,"4-Chloro-3,5-dimethylphenol",-0.8109176776358514,-0.8493684876122927,0.327146151839517,-1.4523010643243974,-0.12125826663151054,-1.3657196262043385,-0.23384151803983186
88-06-2,"2,4,6-Trichlorophenol",-0.4741982972320997,-0.4766269148897968,0.13054869128256277,-0.7729874496066507,-0.14379770785384274,-0.712483655859154,-0.22636932179019573
88-18-6,2-tert-Butylphenol,-0.1295528758075213,-0.14878693751484817,0.37795814468906097,-0.9196536830158026,0.8025598661541677,-0.7411397838900338,0.6361114049172643
88-30-2,3-Trifluoromethyl-4-nitrophenol,-0.023595091586321407,-0.02042372127386458,0.0746001217012623,-0.21518063266065088,0.14447469209014088,-0.18100840057670592,0.11136591280724047
88-45-9,"Benzenesulfonic acid, 2,5-diamino-",0.2841014082545143,0.27674183847633754,0.5754831925464003,-1.4005492180757058,1.3925740587957223,-1.0014588229724948,1.25243232228213
88-68-6,2-Aminobenzamide,0.8999779499600942,0.9162347075035602,0.4136960537138966,-0.2658840016780676,1.6572262437341043,-0.04649320963518783,1.556500902112166
88-72-2,2-Nitrotoluene,0.04385251362342282,0.061943417101492315,0.33405555041683166,-0.86446230177702,0.7955690133227769,-0.641756813152311,0.6585204455204907
88-73-3,1-Chloro-2-nitrobenzene,0.14857533978242013,0.14922700210054993,0.3554902081585374,-0.981472140549414,1.2482315089193918,-0.5032964764473671,0.7924701132058544
88-74-4,2-Nitroaniline,0.11892994599808013,0.13396463877314227,0.3156271825343664,-0.7132954122798433,0.8675762414894002,-0.5432043939818822,0.7347202761170591
88-75-5,2-Nitrophenol,0.04854926225474319,0.03974056234155766,0.20081897771940727,-0.634723833571305,0.5918556443123055,-0.30989285524910504,0.4425228625718758
88-85-7,Dinoseb,-1.0814723902119672,-1.088463188650917,0.11687723416900526,-1.3852027473955528,-0.7863059898698774,-1.304681565651587,-0.8575220181813712
88-89-1,Picric acid,0.8700374079694853,0.8075513088515062,0.2615958735924815,0.43669063737608715,1.389047934143976,0.5056487361208999,1.3759916331159252
88-99-3,Phthalic acid,1.2269745663223666,1.2118378606485771,0.39852909557581273,0.12872048215431334,2.2461161947314237,0.45500971437670257,1.9794243071614661
882-09-7,Clofibric acid,0.8948643659321095,0.8417049955819815,0.32237091609508345,0.14592635069142784,1.6984730978192513,0.2941364880884632,1.531749118729349
882-33-7,Diphenyl disulfide,-1.2500368099500487,-1.2465665827791539,0.4284080289253451,-2.5697922390835113,0.24805100839840635,-2.078714320427159,-0.47038156235290135
886-50-0,Terbutryn,-0.7538215766140302,-0.7706238697740246,0.13239434933037883,-1.0223497105674557,-0.3508015375085167,-0.9544574443755879,-0.4572000224180366
886-86-2,Ethyl 3-aminobenzoate methanesulfonic acid salt,0.4711010212957754,0.4311509845145239,0.24849132515334124,-0.011524033323543115,1.125499152065785,0.08226209914464334,0.9873802722353061
88671-89-0,Myclobutanil,-0.5796242905019728,-0.5615141229106518,0.282427011604567,-1.4262608606108824,0.09185471330307689,-1.0411003145697226,-0.002497685395014137
88805-35-0,Prohexadione,0.21333271266271006,0.2492423999386369,0.41071811098208,-1.3256254184881873,0.9871880996031621,-0.6101320327210449,0.9068538694204693
89-59-8,"Benzene, 4-chloro-1-methyl-2-nitro-",-0.05064566954680875,-0.031900182729224805,0.34058034289335076,-0.9541788668708956,0.5528566567603705,-0.7954723519608838,0.4897050391230753
89-60-1,"Benzene, 1-chloro-4-methyl-2-nitro-",0.023229596355998305,0.026661337117287957,0.3820853700674348,-0.8991666749378093,1.2113254352882972,-0.7941097305047793,0.7133205300546045
89-61-2,"1,4-Dichloro-2-nitrobenzene",-0.64889609761998,-0.6533033047319505,0.23309384539509717,-1.5664643075764422,-0.16021837199345546,-1.1098861124093768,-0.23126852893637173
89-62-3,4-Methyl-2-nitroaniline,0.19356033019835045,0.21040364951897556,0.36304459057110544,-0.7879061882118613,0.969047306029699,-0.6627459543254052,0.8789649846008948
89-63-4,4-Chloro-2-nitroaniline,-0.19629098434715142,-0.21078474779430761,0.4128947093910656,-1.2004003203686484,0.9875962236607245,-1.0531710832889531,0.6305580517315167
89-68-9,6-Chlorothymol,-0.8379692240944142,-0.8253248693460835,0.36849909785874196,-1.6718558230773823,0.0706119893988972,-1.5607871125668644,-0.1505405386761288
89-72-5,2-(Butan-2-yl)phenol,-0.15312284680324226,-0.14827209782673081,0.46419375909723537,-1.4403131172966663,1.255313379295262,-0.9321588999159841,0.664884349392258
89-82-7,R-(+)-Pulegone,0.16830562032802715,0.14404296066739714,0.47421127893171705,-0.7709531232811284,1.6720847335000488,-0.6583046531960283,1.295805377161436
89-83-8,Thymol,-0.1370005872109105,-0.11510411990989718,0.14621390946207785,-0.5667153387892895,0.11989571589625923,-0.4840649612653979,0.06387229102064534
89-86-1,"2,4-Dihydroxybenzoic acid",0.7858336394291939,0.7989853133407756,0.42307604156725664,-0.20251435504786433,1.6037305992215538,0.021002535812484784,1.5047396472576933
89-98-5,2-Chlorobenzaldehyde,-0.2741087857223565,-0.2934320944848319,0.25860550082183936,-0.8666096738027228,0.36929332938974857,-0.7609117215728962,0.2515966252046359
898-84-0,SCHEMBL4263827,-0.20995459360287547,-0.24853942485316954,0.4055142707381254,-1.5425229286124265,0.9054541177707145,-1.0382065955384945,0.6494119306697109
90-02-8,Salicylaldehyde,-0.21807642083227058,-0.20232994330368997,0.16797334276544612,-0.557448437851449,0.2279626217081027,-0.5156745014916996,0.10602266451404908
90-03-9,o-(Chloromercuri)phenol,-0.9927620851362957,-0.987577495325689,0.4166675517865596,-1.9329683838279312,0.14244079323467462,-1.6979292508807038,-0.19696214477903795
90-04-0,2-Anisidine,0.30341500048610537,0.2659680248688533,0.412792643595514,-0.6374263312868859,1.1735389410095176,-0.4940270320413035,1.0581148128163014
