CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper,hc50_mean,hc50_median,hc50_std,hc50_min,hc50_max,hc50_ci_lower,hc50_ci_upper,hc80_mean,hc80_median,hc80_std,hc80_min,hc80_max,hc80_ci_lower,hc80_ci_upper,n_species_observed,trad_hc20,trad_hc50,trad_hc80
813-78-5,Dimethyl phosphate,0.22781179356833672,0.2133072556201127,0.5217537172398757,-1.1801454258472202,1.4105859857190157,-0.7799206060158962,1.1025760542548142,1.0467768437241431,1.0141117806966031,0.5428450260071337,-0.3721559056684109,2.5426177835941055,0.05457391049816734,2.008987369910637,1.8377981780655552,1.7890406182680016,0.5736073309596748,0.30823129746552935,3.4553347746667713,0.7596952334147644,2.932009875204084,,,,
81334-34-1,Imazapyr,-0.6263645605230326,-0.5651684582141647,0.4148319627727323,-1.8857226210012097,0.6228425264183635,-1.3988372082643268,0.13061070147146936,0.19374692303871505,0.2555642742472699,0.41678176981980675,-1.0512854171330426,1.4762783243633815,-0.4996713887031325,0.9585997410604229,0.9774301336537715,0.9769062930963482,0.432874360134158,-0.24771603336107853,2.2480874341825707,0.1972775675483727,1.8245980846312035,,,,
81335-37-7,Imazaquin,0.38657583162950276,0.4647270732166737,0.4606629399689647,-1.1819014381242552,1.5742177564249997,-0.59881255932722,1.090133849081172,1.3421687561037867,1.4175111064110297,0.4727831461474967,-0.22721849417018086,2.579322265038565,0.26293338225771484,2.046536493299683,2.2155598679971806,2.276659602193584,0.49239137866599625,0.6426355345191331,3.4856591173347655,1.0907399920299443,3.0578914406207853,,,,
81335-77-5,Imazethapyr,0.42491779072059144,0.4431606009157012,0.37793265855266134,-0.5260589474933333,1.3922743626846315,-0.34961711712850385,1.090746054810521,1.3553298864146728,1.3813190184638553,0.3777084667941436,0.42549456772907224,2.2815752924348365,0.5684933860094606,2.05635393488762,2.220516236500066,2.220146895071878,0.39144271667460045,1.1161320479608712,3.1478433859345496,1.4135358962845272,2.97618467595218,,,,
81406-37-3,Fluroxypyr-meptyl,-0.4368848896932367,-0.41368872823388403,0.3808039881201318,-1.7682488215442267,0.49913124143327997,-1.1572749227325718,0.20657544779960213,0.5190883933298599,0.5452547087319706,0.34541232631485297,-0.6614305733628386,1.4064592997815282,-0.1597788638346766,1.112310375611895,1.40811584108465,1.409990308568581,0.34222654227814153,0.3513329627667168,2.393518289078693,0.7803549370283055,2.0708459083908357,,,,
81510-83-0,"2-(4,5-Dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3-pyridinecarboxylic acid with 2-propanamine (1:1)",-0.03985298962617294,-0.04290813445231133,0.310615234726796,-0.8538417594234405,0.7428062335334105,-0.6806443478474465,0.5065089384463776,0.8677858078575049,0.8635685076664166,0.3080862257703877,0.11372667592697672,1.6506296743264923,0.26441417241509135,1.4687675808232237,1.7009466627897853,1.6810216435718974,0.32670063724741705,0.7303749997718655,2.5209141219538553,1.0811352446546094,2.356733245993035,,,,
81591-81-3,Glyphosate-trimesium,0.5521622845929025,0.5603733673031686,0.34281350323775106,-0.3242972038247581,1.7084155088766861,-0.08239990832309163,1.178900532096375,1.5085975201424064,1.4788499514287192,0.33729570598560527,0.5858591632389436,2.6405378083016284,0.8713547869524882,2.17188748362658,2.3710909258823456,2.34074032075616,0.3482594706779773,1.461015374699088,3.434975359190984,1.7116951316759526,3.017308222432125,,,,
81741-28-8,Tributyltetradecylphosphonium chloride,-2.015199476146551,-2.02500790693578,0.3451612218801049,-2.926145803743459,-0.9467435494825115,-2.6665653885326064,-1.293964371124016,-1.0857672450874372,-1.079094752305286,0.3447760504175477,-1.9632793802143635,-0.09075475876038785,-1.6895743552378242,-0.33412867297212095,-0.1769132166849233,-0.2039502715915494,0.36785861024680594,-1.112248955300682,0.8730448140703799,-0.8930621346534996,0.6470370270463248,,,,
81777-89-1,Clomazone,-0.2782454906556678,-0.26018268600673344,0.2990878290632197,-1.2179153609593854,0.3531051566905254,-0.9508067796911926,0.2376124646116565,0.584232535370684,0.5969760830355404,0.294640045951165,-0.3882571131020336,1.23272971492969,-0.02494150005110829,1.1109475002410538,1.3917611698372159,1.3950109717514525,0.31555611504839015,0.41205448190344235,2.2241663920198245,0.7828004952279883,1.9601476445321,,,,
818-08-6,"Stannane, dibutyloxo-",-0.759873846218056,-0.7607578511172608,0.5562776432649973,-2.1771555648996297,1.1556617869733972,-1.8218602353194235,0.1811675825455388,0.07033433997790918,0.08471675939460616,0.5845243972247506,-1.515681491305034,2.0465321415381794,-0.9362175958075651,1.2633079319722769,0.8707810244681089,0.84284113432565,0.6143531569570756,-0.8482981621960484,2.8485283497805978,-0.2482383964960093,2.1264098711051735,,,,
